,fips,percent_cases,poverty_percent,median_household_income,always,frequently,sometimes,rarely,never
1858,01123,0.11,0.16,47100.0,0.406,0.29600000000000004,0.136,0.095,0.067
2578,01125,0.13,0.16,52307.0,0.532,0.247,0.14400000000000002,0.036000000000000004,0.040999999999999995
1940,01127,0.12,0.17,45991.0,0.429,0.256,0.145,0.081,0.09
2415,01129,0.11,0.19,48864.0,0.495,0.307,0.102,0.077,0.018000000000000002
2160,01131,0.12,0.32,30998.0,0.455,0.187,0.19899999999999998,0.098,0.061
1475,01133,0.12,0.17,40827.0,0.312,0.183,0.32799999999999996,0.046,0.13
3048,02013,0.11,0.15,66923.0,0.551,0.316,0.034,0.032,0.067
3046,02016,0.14,0.08,84726.0,0.524,0.337,0.03,0.031,0.078
2747,02020,0.12,0.1,82512.0,0.6629999999999999,0.196,0.049,0.05,0.042
3060,02050,0.22,0.24,48262.0,0.413,0.45,0.013999999999999999,0.022000000000000002,0.10099999999999999
1,02068,0.06,0.07,78434.0,0.565,0.225,0.067,0.081,0.062
3053,02070,0.05,0.18,57436.0,0.484,0.391,0.027000000000000003,0.025,0.07200000000000001
3020,02090,0.08,0.07,74076.0,0.413,0.23399999999999999,0.175,0.084,0.094
2866,02100,0.01,0.1,62548.0,0.35200000000000004,0.419,0.12300000000000001,0.05,0.055
2888,02110,0.05,0.06,85419.0,0.353,0.396,0.133,0.067,0.051
3054,02122,0.08,0.1,68625.0,0.662,0.19699999999999998,0.051,0.047,0.043
2687,02130,0.05,0.09,75706.0,0.396,0.256,0.174,0.149,0.025
3043,02150,0.09,0.07,79669.0,0.633,0.233,0.049,0.043,0.042
3055,02170,0.12,0.1,75856.0,0.66,0.198,0.048,0.051,0.042
3057,02180,0.04,0.21,58464.0,0.3,0.544,0.009000000000000001,0.061,0.086
3061,02185,0.11,0.11,84784.0,0.455,0.215,0.235,0.059000000000000004,0.036000000000000004
3058,02188,0.08,0.24,61660.0,0.252,0.474,0.051,0.188,0.035
3031,02195,0.05,0.07,71296.0,0.365,0.349,0.14800000000000002,0.095,0.042
3044,02198,0.03,0.18,50049.0,0.38,0.3,0.161,0.125,0.033
2978,02220,0.05,0.08,80660.0,0.35700000000000004,0.381,0.13699999999999998,0.077,0.048
2,02230,0.02,0.04,74898.0,0.354,0.435,0.11599999999999999,0.038,0.057999999999999996
3056,02240,0.11,0.12,69646.0,0.45299999999999996,0.272,0.14,0.071,0.064
3059,02261,0.08,0.09,74574.0,0.6629999999999999,0.19699999999999998,0.052000000000000005,0.049,0.04
3,02275,0.03,0.1,62496.0,0.374,0.312,0.16,0.11900000000000001,0.035
3062,02290,0.07,0.24,42063.0,0.358,0.425,0.126,0.047,0.044000000000000004
3047,02997,0.16,0.14,69821.5,0.5675,0.3035,0.041,0.036500000000000005,0.051500000000000004
3029,02998,0.06,0.15,57364.0,0.41850000000000004,0.39,0.10400000000000001,0.038,0.049
3042,04001,0.16,0.33,35386.0,0.701,0.15,0.031,0.063,0.055
3007,04003,0.1,0.17,48650.0,0.581,0.19399999999999998,0.147,0.025,0.053
3051,04005,0.14,0.16,58301.0,0.7020000000000001,0.11,0.07,0.08,0.039
2973,04007,0.13,0.21,45980.0,0.547,0.336,0.03,0.013999999999999999,0.073
2965,04009,0.16,0.2,50685.0,0.5529999999999999,0.049,0.237,0.067,0.095
2716,04011,0.06,0.09,68066.0,0.544,0.08900000000000001,0.16699999999999998,0.08900000000000001,0.111
2959,04012,0.12,0.22,39407.0,0.57,0.17300000000000001,0.162,0.064,0.031
3033,04013,0.13,0.12,68634.0,0.7340000000000001,0.158,0.059000000000000004,0.025,0.023
3045,04015,0.12,0.16,49712.0,0.585,0.16399999999999998,0.10400000000000001,0.096,0.051
3037,04017,0.15,0.25,40676.0,0.602,0.139,0.059000000000000004,0.10800000000000001,0.091
3032,04019,0.12,0.14,56150.0,0.759,0.121,0.073,0.024,0.023
2992,04021,0.12,0.12,62067.0,0.667,0.14800000000000002,0.096,0.055,0.033
2521,04023,0.18,0.19,47779.0,0.8370000000000001,0.07400000000000001,0.057999999999999996,0.002,0.027999999999999997
3025,04025,0.09,0.12,54242.0,0.639,0.17600000000000002,0.081,0.073,0.031
2995,04027,0.18,0.2,47024.0,0.804,0.129,0.046,0.013000000000000001,0.008
2354,05001,0.13,0.16,52539.0,0.557,0.21600000000000003,0.134,0.073,0.019
2236,05003,0.1,0.18,47744.0,0.595,0.11699999999999999,0.163,0.10300000000000001,0.023
1326,05005,0.09,0.13,41950.0,0.534,0.10400000000000001,0.10800000000000001,0.10400000000000001,0.15
2063,05007,0.11,0.09,70775.0,0.643,0.16,0.083,0.034,0.081
1378,05009,0.11,0.15,50083.0,0.41600000000000004,0.18899999999999997,0.122,0.145,0.129
1546,05011,0.14,0.23,39982.0,0.445,0.184,0.175,0.102,0.094
1476,05013,0.08,0.15,48415.0,0.40399999999999997,0.21100000000000002,0.10800000000000001,0.132,0.145
1509,05015,0.11,0.15,43841.0,0.5770000000000001,0.129,0.115,0.068,0.111
1641,05017,0.17,0.31,37014.0,0.531,0.09699999999999999,0.193,0.07400000000000001,0.10400000000000001
2079,05019,0.12,0.21,44105.0,0.518,0.231,0.08,0.091,0.08
1505,05021,0.13,0.19,40686.0,0.395,0.242,0.157,0.124,0.08199999999999999
1348,05023,0.09,0.14,46214.0,0.546,0.259,0.09300000000000001,0.065,0.036000000000000004
1366,05025,0.13,0.14,53773.0,0.47200000000000003,0.231,0.16,0.03,0.107
1859,05027,0.11,0.21,42964.0,0.38299999999999995,0.25,0.054000000000000006,0.07200000000000001,0.24100000000000002
1172,05029,0.11,0.16,46924.0,0.325,0.34700000000000003,0.13699999999999998,0.12,0.071
1693,05031,0.13,0.17,47766.0,0.32,0.341,0.138,0.12300000000000001,0.078
1388,05033,0.12,0.18,44600.0,0.36700000000000005,0.21100000000000002,0.16699999999999998,0.1,0.155
1489,05035,0.13,0.22,41976.0,0.508,0.306,0.11,0.017,0.059000000000000004
1455,05037,0.13,0.18,45273.0,0.40399999999999997,0.319,0.163,0.017,0.09699999999999999
1583,05039,0.13,0.19,41314.0,0.45899999999999996,0.196,0.09300000000000001,0.055,0.19699999999999998
1970,05041,0.12,0.25,37005.0,0.509,0.18899999999999997,0.19,0.033,0.078
1995,05043,0.12,0.18,44162.0,0.523,0.159,0.207,0.049,0.063
1576,05045,0.11,0.14,58482.0,0.426,0.40299999999999997,0.077,0.027000000000000003,0.066
1440,05047,0.1,0.16,45670.0,0.34,0.187,0.245,0.079,0.149
1442,05049,0.1,0.18,32926.0,0.35100000000000003,0.19699999999999998,0.226,0.121,0.105
1790,05051,0.11,0.17,45786.0,0.596,0.21,0.068,0.102,0.025
1479,05053,0.1,0.12,58566.0,0.489,0.258,0.127,0.043,0.08199999999999999
1282,05055,0.15,0.16,47098.0,0.297,0.34600000000000003,0.154,0.141,0.062
1805,05057,0.1,0.18,40867.0,0.5539999999999999,0.179,0.096,0.073,0.098
1454,05059,0.17,0.2,45860.0,0.56,0.21600000000000003,0.079,0.086,0.059000000000000004
1360,05061,0.13,0.17,41427.0,0.56,0.145,0.145,0.07,0.081
1869,05063,0.11,0.16,47903.0,0.44,0.179,0.08800000000000001,0.156,0.13699999999999998
1310,05065,0.14,0.16,40233.0,0.43,0.23,0.133,0.121,0.086
1506,05067,0.23,0.23,38636.0,0.46799999999999997,0.179,0.135,0.10300000000000001,0.11599999999999999
2178,05069,0.15,0.24,40555.0,0.5770000000000001,0.17300000000000001,0.172,0.036000000000000004,0.042
1620,05071,0.12,0.18,40396.0,0.32799999999999996,0.221,0.205,0.10300000000000001,0.14400000000000002
1096,05073,0.09,0.26,37164.0,0.486,0.23399999999999999,0.078,0.08199999999999999,0.12
1350,05075,0.14,0.18,39604.0,0.337,0.298,0.153,0.128,0.085
1438,05077,0.24,0.35,30421.0,0.40700000000000003,0.263,0.195,0.032,0.10300000000000001
1210,05079,0.34,0.27,44272.0,0.5539999999999999,0.201,0.19399999999999998,0.016,0.035
1163,05081,0.11,0.18,43257.0,0.499,0.201,0.106,0.121,0.07400000000000001
1784,05083,0.11,0.17,42249.0,0.479,0.14300000000000002,0.12,0.11,0.14800000000000002
1933,05085,0.11,0.11,62782.0,0.474,0.297,0.136,0.045,0.048
2000,05087,0.09,0.16,48016.0,0.564,0.114,0.159,0.08800000000000001,0.075
1499,05089,0.07,0.16,38760.0,0.49,0.10800000000000001,0.11900000000000001,0.11199999999999999,0.171
1493,05091,0.11,0.14,50905.0,0.48700000000000004,0.21899999999999997,0.106,0.124,0.064
2196,05093,0.15,0.23,39990.0,0.44,0.284,0.134,0.109,0.033
1449,05095,0.14,0.26,34289.0,0.406,0.271,0.127,0.128,0.068
1925,05097,0.09,0.2,39591.0,0.521,0.166,0.136,0.095,0.081
1445,05099,0.11,0.24,36528.0,0.501,0.22399999999999998,0.084,0.048,0.14300000000000002
1976,05101,0.1,0.18,37648.0,0.408,0.261,0.084,0.14,0.107
1798,05103,0.11,0.17,46393.0,0.449,0.242,0.06,0.09699999999999999,0.151
1145,05105,0.09,0.16,50560.0,0.40399999999999997,0.36700000000000005,0.08,0.051,0.098
1772,05107,0.11,0.33,31521.0,0.47700000000000004,0.276,0.134,0.061,0.052000000000000005
1418,05109,0.1,0.17,44426.0,0.501,0.17600000000000002,0.2,0.061,0.064
1849,05111,0.14,0.23,40536.0,0.397,0.287,0.141,0.098,0.077
2036,05113,0.1,0.2,39722.0,0.446,0.076,0.217,0.08,0.18
1985,05115,0.14,0.17,47519.0,0.302,0.285,0.18100000000000002,0.151,0.08199999999999999
1597,05117,0.12,0.15,46205.0,0.391,0.273,0.10300000000000001,0.17,0.062
1946,05119,0.11,0.15,52684.0,0.644,0.175,0.126,0.027000000000000003,0.027999999999999997
1553,05121,0.13,0.17,42875.0,0.311,0.289,0.203,0.145,0.051
1511,05123,0.18,0.32,34389.0,0.35,0.267,0.289,0.006999999999999999,0.087
1780,05125,0.11,0.1,66944.0,0.524,0.212,0.154,0.044000000000000004,0.066
2117,05127,0.1,0.2,38065.0,0.45799999999999996,0.12300000000000001,0.124,0.14,0.155
1586,05129,0.1,0.22,34712.0,0.5379999999999999,0.149,0.125,0.08800000000000001,0.1
1100,05131,0.13,0.16,48945.0,0.37200000000000005,0.20800000000000002,0.157,0.142,0.121
1295,05133,0.17,0.18,43493.0,0.467,0.165,0.155,0.09300000000000001,0.12
1394,05135,0.1,0.23,37591.0,0.33299999999999996,0.222,0.22,0.158,0.067
1404,05137,0.09,0.19,36930.0,0.498,0.23399999999999999,0.11,0.092,0.067
2375,05139,0.11,0.19,46602.0,0.344,0.262,0.098,0.179,0.11599999999999999
1760,05141,0.09,0.2,38096.0,0.539,0.272,0.096,0.06,0.033
2260,05143,0.14,0.15,52158.0,0.6509999999999999,0.18600000000000003,0.10099999999999999,0.027999999999999997,0.034
2364,05145,0.11,0.15,46388.0,0.491,0.27699999999999997,0.152,0.054000000000000006,0.026000000000000002
1357,05147,0.11,0.27,36568.0,0.45399999999999996,0.231,0.20800000000000002,0.048,0.059000000000000004
2249,05149,0.17,0.16,44469.0,0.474,0.198,0.11199999999999999,0.1,0.11599999999999999
1809,06003,0.08,0.17,58112.0,0.612,0.19,0.08800000000000001,0.085,0.025
1389,06005,0.11,0.1,62640.0,0.655,0.188,0.099,0.013000000000000001,0.045
2673,06007,0.06,0.16,58394.0,0.626,0.204,0.111,0.043,0.015
2358,06009,0.05,0.12,68248.0,0.562,0.276,0.098,0.019,0.045
2474,06011,0.11,0.12,59048.0,0.7,0.151,0.092,0.031,0.027000000000000003
1932,06013,0.06,0.08,106555.0,0.8059999999999999,0.121,0.039,0.016,0.018000000000000002
2513,06015,0.06,0.18,48979.0,0.547,0.196,0.11199999999999999,0.135,0.01
2702,06017,0.06,0.09,86202.0,0.675,0.183,0.07200000000000001,0.042,0.027999999999999997
3001,06019,0.1,0.2,56926.0,0.741,0.156,0.059000000000000004,0.022000000000000002,0.021
2568,06021,0.11,0.12,55682.0,0.594,0.20600000000000002,0.146,0.026000000000000002,0.027999999999999997
2939,06023,0.04,0.19,51134.0,0.865,0.069,0.018000000000000002,0.006,0.042
2957,06025,0.17,0.22,48102.0,0.836,0.128,0.03,0.005,0.001
3039,06027,0.08,0.12,59605.0,0.889,0.057999999999999996,0.008,0.011000000000000001,0.033
3026,06029,0.13,0.19,53245.0,0.6679999999999999,0.177,0.105,0.027999999999999997,0.022000000000000002
2591,06031,0.17,0.16,57297.0,0.7659999999999999,0.094,0.049,0.016,0.075
2569,06033,0.06,0.18,46897.0,0.8490000000000001,0.136,0.006999999999999999,0.004,0.003
2966,06035,0.25,0.16,53613.0,0.48200000000000004,0.225,0.162,0.068,0.064
2970,06037,0.12,0.13,72721.0,0.7859999999999999,0.131,0.049,0.013000000000000001,0.021
